c Instance Type h 
c 
n 200 
c w v1 v2 v3 v4 v5 v6
i 533 155 386 719 28 37 331
i 15 380 555 344 456 430 730
i 306 737 382 308 735 506 697
i 650 552 261 771 457 26 69
i 686 809 919 990 815 673 827
i 312 646 698 772 192 303 142
i 533 844 6 775 455 20 236
i 643 518 618 411 730 527 658
i 362 719 401 719 431 225 285
i 678 153 802 79 941 339 753
i 64 686 33 736 588 513 671
i 619 700 188 964 38 235 873
i 2 6 568 377 212 808 846
i 262 655 305 997 104 364 32
i 181 342 857 1000 54 669 314
i 879 653 667 583 929 887 394
i 885 187 313 370 254 493 329
i 503 829 157 901 53 104 632
i 904 191 675 62 752 874 670
i 706 869 395 741 532 883 431
i 739 932 547 428 483 215 314
i 926 551 233 266 711 130 513
i 494 553 933 267 180 221 879
i 799 814 939 465 451 273 884
i 657 995 594 737 677 177 854
i 325 874 935 587 295 999 673
i 638 759 589 606 228 556 584
i 795 263 775 546 94 321 654
i 471 167 604 257 58 796 979
i 865 873 795 570 940 24 171
i 413 612 664 837 501 503 760
i 645 539 597 143 28 622 437
i 579 33 149 306 861 902 635
i 518 832 701 942 216 191 909
i 113 490 515 79 188 980 548
i 49 814 510 665 480 477 566
i 638 452 385 439 5 235 225
i 413 247 144 17 357 596 553
i 18 717 407 857 834 278 396
i 813 583 574 345 511 187 507
i 477 995 447 263 513 215 291
i 75 641 59 585 594 165 272
i 223 220 597 222 481 168 398
i 923 738 630 919 226 614 901
i 439 850 463 503 377 623 593
i 948 899 952 693 678 553 112
i 334 537 767 71 982 692 292
i 478 949 219 110 754 150 390
i 884 967 466 112 892 524 952
i 458 780 184 900 889 667 540
i 904 258 766 673 551 752 141
c 
c 
W 51855 
c end of file 
